,Weight,height
185,81.52,155.0
186,99.94,181.01
187,83.8,182.06
188,98.7,185.45
189,85.14,159.32
190,88.92,170.3
191,56.4,181.76
192,88.44,180.8
193,74.06,139.55
194,97.03999999999999,190.19
195,77.3,186.02
196,82.0,156.26
197,99.53999999999999,161.63
198,58.06,154.43
199,86.0,213.35
200,85.24,171.41
201,95.72,197.51
202,88.64,168.59
203,64.3,140.66
204,60.9,189.62
205,64.52,186.59
206,57.92,157.07
207,56.379999999999995,156.35
208,86.88,163.7
209,87.94,140.36
210,60.18,180.23
211,82.98,138.2
212,80.5,133.88
213,99.9,157.16
214,53.46,170.33
215,100.64,172.28
216,65.84,194.32999999999998
217,68.26,138.17000000000002
218,57.82,178.49
219,66.03999999999999,142.01
220,70.34,195.5
221,66.92,187.01
222,81.48,137.84
223,85.4,189.35
224,71.46,138.74
225,83.02,161.15
226,85.14,156.38
227,89.2,172.76
228,88.88,178.58
229,82.76,136.28
230,55.4,184.22
231,84.03999999999999,179.99
232,79.12,157.49
233,55.94,162.53
234,87.96000000000001,207.98000000000002
235,64.4,145.1
236,57.239999999999995,179.51
237,75.4,138.77
238,83.68,180.53
239,81.34,206.06
240,84.36,165.89
241,57.22,179.96
242,95.94,195.41
243,78.42,187.91
244,86.52,168.71
245,87.36,174.59
246,79.1,216.05
247,86.52,164.36
248,86.9,168.26
249,81.84,210.89
250,85.38,160.82
251,65.84,188.45
252,85.72,184.91
253,75.78,138.05
254,57.379999999999995,176.0
255,94.76,198.29
256,94.02,163.61
257,81.44,190.76
258,96.06,190.97
259,75.86,134.66
260,85.82,170.96
261,60.76,147.38
262,99.88,166.43
263,69.94,192.53
264,63.0,179.9
265,77.52,191.24
266,75.22,155.66
267,57.019999999999996,163.64
268,89.22,178.52
269,56.72,152.06
270,59.54,172.88
271,74.28,214.79
272,81.08,138.74
273,77.66,149.57
274,82.2,138.26
275,66.74,146.3
276,97.98,179.51
277,59.08,152.63
278,57.58,166.85
279,56.28,161.57
280,80.72,133.88
281,86.88,176.63
282,82.82,156.35
283,83.44,184.67
284,61.64,184.55
285,86.84,183.44
286,93.03999999999999,200.99
287,82.24,208.1
288,93.9,199.01
289,84.46000000000001,136.28
290,100.42,158.99
291,85.8,207.44
292,79.08,156.35
293,90.12,202.34
294,54.68,163.22
295,87.92,181.91
296,95.74,157.73
297,55.32,172.76
298,96.16,155.6
299,79.58,164.75
300,81.12,159.35
301,85.62,141.07999999999998
302,97.16,164.18
303,64.76,192.02
304,100.22,169.58
305,81.44,151.79
306,87.08,175.97
307,100.53999999999999,158.03
308,81.34,158.21
309,86.9,169.64
310,76.7,134.78
311,78.76,211.91
312,85.84,181.49
313,57.84,186.8
314,81.28,188.78
315,85.98,203.48000000000002
316,85.4,181.55
317,64.84,142.73
318,89.53999999999999,184.04
319,86.36,140.99
320,55.54,181.64
321,86.64,157.01
322,78.14,187.64
323,94.26,198.8
324,54.96,171.35
325,83.48,140.15
326,54.1,155.3
327,79.92,187.73
328,82.4,210.17000000000002
329,58.120000000000005,151.25
330,85.8,188.03
331,55.879999999999995,175.73
332,86.62,207.82999999999998
333,81.62,158.78
334,67.4,189.59
335,86.03999999999999,208.07
336,58.22,183.56
337,86.48,138.47
338,75.94,139.22
339,84.2,214.94
340,70.0,192.29
341,80.52,140.09
342,54.260000000000005,162.44
343,85.82,140.15
344,75.56,130.7
345,78.02,155.39
346,84.3,156.32
347,88.96000000000001,144.07999999999998
348,86.26,203.93
349,59.36,147.86
350,87.86,166.49
351,93.08,203.0
352,63.66,188.12
353,69.18,194.06
354,70.82,190.31
355,55.18,172.67
356,86.76,143.96
357,81.4,153.23
358,79.32,138.8
359,96.0,155.63
360,68.7,135.35
361,76.16,156.56
362,85.12,169.52
363,58.82,176.42
364,78.48,140.48
365,99.96000000000001,156.77
366,76.0,153.83
367,57.14,166.79
368,67.32,190.61
369,53.980000000000004,182.84
370,67.28,189.47
371,86.3,158.03
372,70.4,192.08
373,97.53999999999999,164.6
374,97.08,169.13
375,64.03999999999999,149.45
376,75.3,154.94
377,84.6,171.53
378,56.32,163.28
379,71.58,194.63
380,83.02,187.28
381,77.76,134.57
382,59.24,184.07
383,78.74,153.02
384,58.72,157.37
385,88.28,180.95
386,65.6,188.21
387,89.92,173.03
388,69.8,184.73
389,86.34,163.79
390,99.08,162.35
391,71.0,197.99
392,88.6,173.03
393,58.480000000000004,153.59
394,73.54,141.2
395,85.28,210.2
396,84.48,188.33
397,68.74,188.72
398,84.02,193.91
399,81.16,152.6
400,83.24,207.53
401,78.16,155.81
402,57.8,171.35
403,85.12,161.66
404,82.82,188.42
405,75.36,213.56
406,82.16,137.54
407,83.92,210.5
408,90.6,204.44
409,57.72,164.36
410,58.879999999999995,154.25
411,89.62,180.11
412,63.08,144.98
413,88.5,171.26
414,57.64,184.22
415,85.03999999999999,142.79
416,87.74,207.74
417,80.48,213.65
418,54.56,160.07
419,96.5,194.66
420,57.44,170.24
421,84.76,170.39
422,82.92,143.24
423,87.62,174.74
424,59.84,184.01
425,78.0,159.17
426,66.74,194.93
427,84.0,160.91
428,90.08,175.88
429,81.18,190.37
430,83.64,210.32
431,86.12,165.44
432,78.88,140.39
433,58.28,169.34
434,57.44,163.88
435,81.18,138.26
436,90.94,201.53
437,89.92,207.07999999999998
438,54.5,179.9
439,80.72,157.67
440,58.44,165.98
441,94.3,192.53
442,82.58,189.26
443,87.68,176.54
444,74.9,156.53
445,98.53999999999999,176.51
446,81.28,187.97
447,61.480000000000004,187.82
448,75.52,151.58
449,88.96000000000001,140.93
450,97.06,172.28
451,65.22,188.39
452,68.72,133.31
453,80.82,191.96
454,88.6,166.88
455,100.36,174.44
456,64.76,145.46
457,63.28,150.47
458,76.52,160.7
459,58.04,171.65
460,53.9,158.9
461,81.62,210.59
462,79.82,208.49
463,84.84,186.2
464,85.68,177.74
465,80.78,158.63
466,85.4,157.07
467,57.0,153.77
468,72.72,197.75
469,63.12,147.41
470,57.96,182.33
471,89.86,168.26
472,58.22,154.22
473,70.02,193.67
474,96.62,159.32
475,86.98,139.64
476,79.2,154.91
477,75.3,137.78
478,80.08,153.59
479,63.08,180.86
480,72.5,141.17000000000002
481,82.38,157.31
482,59.019999999999996,148.37
483,55.739999999999995,169.55
484,93.1,200.9
485,102.64,171.02
486,88.7,141.35
487,80.8,194.36
488,87.46000000000001,176.18
489,98.5,157.13
490,84.42,157.97
491,89.16,203.66
492,54.6,168.71
493,66.98,186.74
494,82.78,188.99
495,57.14,146.84
496,75.72,212.99
497,100.92,164.06
498,89.3,175.61
499,82.44,188.54
500,75.08,137.09
501,92.06,198.71
502,88.74,206.45
503,77.2,194.15
504,97.22,174.26
505,82.68,191.57
506,93.82,199.43
507,56.14,173.15
508,84.2,167.96
509,89.48,170.87
510,86.38,163.34
511,81.4,160.49
512,87.62,208.85
513,85.24,159.98
514,87.72,166.04
515,85.74,181.46
516,81.06,189.17
517,58.64,144.86
518,94.26,193.13
519,80.24,157.28
520,74.32,132.07999999999998
521,76.68,158.57
522,82.7,210.17000000000002
523,84.28,168.32
524,62.5,148.55
525,81.94,181.1
526,84.76,181.19
527,101.16,182.66
528,57.82,155.15
529,81.06,160.91
530,54.1,170.48
531,88.46000000000001,176.66
532,74.94,205.94
533,82.88,158.93
534,78.6,210.2
535,59.22,147.35
536,95.42,161.87
537,98.74,157.16
538,66.94,142.73
539,85.1,188.18
540,88.24,207.41
541,80.76,187.49
542,84.66,206.12
543,58.96,187.4
544,83.03999999999999,158.12
545,85.92,171.14
546,88.12,178.64
547,87.92,163.82
548,55.6,161.15
549,78.56,140.12
550,57.22,152.36
551,82.02,154.01
552,58.64,176.87
553,66.18,189.65
554,100.26,164.51
555,81.8,188.0
556,83.44,190.82
557,69.58,139.43
558,87.66,205.1
559,86.5,180.56
560,87.62,169.91
561,82.98,186.65
562,80.88,159.2
563,56.56,167.09
564,87.78,169.97
565,76.36,152.12
566,87.16,179.27
567,86.3,133.57999999999998
568,83.16,192.77
569,84.06,181.97
570,86.03999999999999,138.98
571,68.28,193.25
572,86.38,171.35
573,80.44,160.22
574,86.53999999999999,163.82
575,85.3,208.22
576,61.12,153.83
577,68.54,189.59
578,55.6,167.39
579,96.92,162.26
580,55.4,173.96
581,71.36,196.19
582,84.5,164.36
583,54.16,173.45
584,79.84,159.8
585,78.86,160.97
586,86.74,180.98
587,60.7,151.19
588,82.64,142.4
589,94.56,195.05
590,80.32,136.97
591,79.9,161.99
592,80.94,207.62
593,84.56,157.25
594,80.72,193.82
595,59.62,175.22
596,96.84,195.11
597,56.980000000000004,182.15
598,82.9,133.67000000000002
599,62.980000000000004,140.84
600,99.36,185.09
601,57.14,171.68
602,83.64,141.44
603,99.3,177.47
604,79.12,142.57999999999998
605,65.52,188.33
606,61.08,189.44
607,100.94,172.97
608,78.98,157.1
609,73.98,138.02
610,64.64,144.07999999999998
611,54.739999999999995,166.85
612,86.56,164.24
613,81.6,192.77
614,55.82,159.71
615,62.04,182.48
616,80.8,134.87
617,93.34,203.0
618,79.06,193.1
619,88.12,140.75
620,89.58,174.35
621,64.34,192.17
622,54.94,166.16
623,59.42,182.3
624,85.74,185.93
625,85.02,202.13
626,96.3,160.55
627,78.6,187.16
628,85.58,214.76
629,84.92,208.91
630,69.68,138.23
631,56.620000000000005,162.23
632,98.4,183.17
633,84.72,154.64
634,57.68,166.04
635,89.12,177.14
636,86.66,171.95
637,57.16,166.97
638,84.68,161.84
639,103.58,169.88
640,85.72,162.2
641,100.26,192.53
642,94.52,202.85
643,77.02,197.72
644,93.86,201.44
645,68.58,138.68
646,72.94,192.14
647,76.2,159.83
648,57.980000000000004,151.91
649,62.6,156.14
650,56.3,171.35
651,99.36,161.81
652,56.620000000000005,188.27
653,60.3,143.57
654,84.62,140.48
655,86.14,172.61
656,59.46,175.97
657,79.72,154.82
658,56.78,151.52
659,86.74,180.83
660,99.72,160.16
661,90.46000000000001,203.09
662,66.36,194.12
663,53.56,167.39
664,85.16,204.62
665,93.64,196.22
666,65.98,142.13
667,98.78,176.42
668,98.74,159.29
669,88.3,201.11
670,84.53999999999999,140.0
671,69.94,143.21
672,64.76,138.44
673,85.58,165.05
674,101.98,168.89
675,77.96,189.17
676,85.96000000000001,185.0
677,83.6,161.24
678,84.03999999999999,164.51
679,71.78,196.25
680,62.46,190.7
681,70.02,189.32
682,80.22,156.62
683,99.4,189.95
684,64.08,144.41
685,71.14,192.26
686,87.53999999999999,138.71
687,59.32,157.37
688,79.02,215.36
689,89.1,179.27
690,59.26,167.87
691,84.36,140.42000000000002
692,56.64,164.63
693,80.86,211.31
694,91.76,197.32999999999998
695,83.38,181.91
696,103.38,171.65
697,102.14,178.16
698,59.7,149.99
699,84.6,189.53
700,78.58,135.92000000000002
701,87.58,179.96
702,66.82,141.47
703,65.2,188.15
704,76.04,141.95
705,55.519999999999996,153.5
706,81.0,209.81
707,77.52,151.52
708,94.98,192.62
709,99.18,155.42
710,82.92,185.78
711,92.14,207.01999999999998
712,66.53999999999999,143.09
713,85.32,172.7
714,59.96,182.72
715,56.46,152.21
716,72.36,193.43
717,78.12,158.0
718,87.38,166.19
719,65.12,193.34
720,87.66,163.82
721,66.34,139.79
722,99.66,188.69
723,76.3,216.29
724,85.28,171.86
725,80.78,195.65
726,60.42,137.21
727,62.2,190.37
728,58.18,182.72
729,55.72,157.37
730,98.22,194.0
731,88.28,169.85
732,87.96000000000001,141.44
733,85.08,184.52
734,99.8,177.11
735,85.76,172.37
736,72.9,193.94
737,86.16,213.17000000000002
738,88.56,175.4
739,95.12,185.24
740,95.96000000000001,200.18
741,99.88,186.44
742,89.2,168.11
743,79.98,216.5
744,63.78,190.7
745,94.52,204.95
746,86.42,206.48000000000002
747,83.1,156.83
748,71.26,191.54
749,77.18,155.03
750,93.52,203.66
751,87.58,173.33
752,87.2,182.99
753,83.7,179.36
754,72.08,137.6
755,99.18,158.93
756,69.66,141.32
757,65.58,185.66
758,85.28,164.84
759,87.4,182.06
760,89.16,172.28
761,66.94,191.18
762,56.08,183.62
763,78.76,192.08
764,78.5,191.69
765,88.06,142.7
766,99.0,192.68
767,75.44,154.64
768,62.92,186.71
769,58.620000000000005,165.53
770,65.34,192.05
771,76.2,153.95
772,83.52,187.61
773,72.76,139.64
774,60.06,149.69
775,58.36,157.04
776,75.2,159.35
777,56.480000000000004,160.07
778,87.58,157.1
779,99.3,183.23
780,61.26,182.96
781,55.08,153.05
782,68.86,138.17000000000002
783,65.7,143.39
784,58.519999999999996,154.1
785,54.14,161.39
786,102.52,183.5
787,90.28,201.26
788,97.66,187.16
789,81.74,163.82
790,58.120000000000005,176.51
791,71.94,194.51
792,55.58,170.69
793,55.879999999999995,170.78
794,86.48,175.52
795,80.48,136.04
796,84.02,193.1
797,89.76,163.49
798,85.64,183.53
799,84.98,158.81
800,87.84,165.17
801,85.6,176.36
802,53.739999999999995,174.56
803,65.86,187.67
804,61.44,144.74
805,87.02,184.25
806,78.78,191.78
807,62.88,182.6
808,55.44,173.12
809,81.68,153.98
810,59.56,176.87
811,55.4,158.75
812,84.53999999999999,168.17
813,84.62,178.64
814,85.26,165.14
815,81.7,134.12
816,99.02,172.25
817,85.62,178.22
818,85.0,178.01
819,58.84,174.89
820,79.48,191.27
821,60.4,159.17
822,97.58,176.3
823,81.84,160.34
824,81.32,190.37
825,86.03999999999999,177.53
826,92.22,202.79
827,98.82,164.12
828,89.78,169.4
829,88.08,138.92000000000002
830,97.53999999999999,157.1
831,81.2,160.34
832,61.7,185.21
833,85.14,161.66
834,77.78,134.42000000000002
835,63.019999999999996,184.31
836,61.72,137.72
837,85.72,181.28
838,98.92,186.08
839,66.28,140.15
840,98.38,158.15
841,93.96000000000001,199.88
842,71.34,197.09
843,62.62,142.49
844,78.3,191.96
845,53.480000000000004,168.11
846,86.14,179.9
847,96.7,158.84
848,57.34,154.43
849,56.879999999999995,172.61
850,78.22,191.75
851,89.36,176.39
852,86.02,168.17
853,96.2,189.2
854,87.14,182.36
855,57.72,150.26
856,100.46000000000001,166.25
857,61.32,181.64
858,57.620000000000005,151.88
859,68.56,191.6
860,91.14,205.4
861,75.02,150.8
862,72.22,158.33
863,98.64,189.65
864,78.14,188.06
865,61.16,150.71
866,55.84,150.29
867,74.18,155.33
868,84.68,144.07999999999998
869,62.22,183.95
870,85.86,177.47
871,98.24,158.6
872,86.26,138.77
873,61.22,144.07999999999998
874,58.6,186.14
875,82.46,186.38
876,85.9,169.19
877,86.0,174.56
878,87.3,162.47
879,55.78,163.43
880,85.6,167.39
881,98.56,163.91
882,98.76,165.92
883,78.36,135.38
884,84.38,169.76
885,62.84,190.64
886,62.64,188.81
887,97.66,167.33
888,70.22,136.16
889,55.96,168.92
890,58.019999999999996,175.37
891,98.0,183.53
892,82.8,186.32
893,88.56,175.46
894,68.24,196.22
895,99.48,164.45
896,102.62,183.83
897,96.02,195.07999999999998
898,87.9,169.88
899,76.6,155.78
900,80.2,136.76
901,70.96,193.04
902,84.28,183.14
903,101.86,167.81
904,99.18,160.13
905,60.04,174.11
906,87.68,157.67
907,78.2,135.11
908,87.14,159.74
909,57.5,160.04
910,70.02,139.22
911,85.7,186.95
912,84.02,159.26
913,56.980000000000004,155.75
914,83.96000000000001,181.94
915,58.56,159.89
916,82.02,165.29
917,60.32,187.46
918,99.4,171.56
919,55.739999999999995,162.68
920,90.08,170.18
921,59.019999999999996,161.12
922,83.62,186.77
923,95.9,196.34
924,87.32,165.68
925,78.42,153.26
926,67.76,190.16
927,62.8,185.15
928,58.34,152.24
929,62.32,147.32
930,83.98,169.28
931,81.94,134.81
932,78.46,135.11
933,72.36,138.14
934,92.38,200.6
935,73.38,212.87
936,86.94,139.19
937,85.72,164.75
938,60.26,154.64
939,69.76,137.81
940,85.74,175.01
941,79.06,160.37
942,79.24,139.1
943,87.96000000000001,175.16
944,83.82,155.78
945,77.56,187.34
946,86.1,208.51999999999998
947,87.82,208.73000000000002
948,57.18,174.62
949,57.04,155.66
950,88.46000000000001,137.72
951,67.32,188.48
952,67.36,187.01
953,84.78,161.63
954,82.14,186.74
955,87.88,200.78
956,84.72,208.16
957,81.68,194.39
958,87.0,170.72
959,96.1,162.05
960,86.18,208.85
961,67.7,136.67000000000002
962,76.74,140.27
963,86.03999999999999,158.75
964,58.28,156.41
965,86.64,136.49
966,70.94,189.65
967,99.16,189.14
968,85.0,183.56
969,65.32,139.55
970,64.84,144.29
971,75.5,133.31
972,60.4,173.75
973,97.52,183.59
974,88.98,180.05
975,97.88,191.84
976,62.92,181.46
977,63.519999999999996,187.43
978,57.66,179.87
979,86.96000000000001,142.55
980,56.84,170.72
981,95.3,201.05
982,55.06,160.1
983,78.54,149.48
984,64.76,188.48
985,68.6,190.25
986,64.56,191.48
987,65.7,194.48
988,65.08,150.56
989,62.64,142.07
990,57.7,162.59
991,99.56,161.99
992,83.64,165.53
993,63.92,191.93
994,98.52,161.33
995,68.12,139.49
996,80.46,187.94
997,77.04,136.19
998,55.44,168.26
999,80.54,154.25
1000,56.0,163.88
1001,64.38,142.61
1002,85.32,169.34
1003,64.3,141.53
1004,55.68,165.08
1005,80.96,193.19
1006,79.96,139.13
1007,75.0,153.35
1008,82.1,186.29
1009,96.52,193.67
1010,60.58,143.69
1011,97.02,160.31
1012,87.34,160.4
1013,69.64,192.68
1014,82.98,164.06
1015,65.4,189.23
1016,85.24,202.73000000000002
1017,89.8,169.16
1018,96.52,199.88
1019,62.9,189.23
1020,70.78,193.55
1021,95.3,194.12
1022,58.4,172.67
1023,83.64,193.94
1024,82.54,191.36
1025,69.42,141.17000000000002
1026,91.5,198.17000000000002
1027,62.06,194.87
1028,98.53999999999999,195.65
1029,84.44,170.42
1030,80.54,209.45
1031,60.86,150.86
1032,64.62,184.82
1033,76.66,159.95
1034,84.82,176.75
1035,79.22,153.17
1036,84.28,160.85
1037,78.56,152.21
1038,59.0,183.47
1039,68.46,193.07
1040,65.88,141.47
1041,98.62,157.22
1042,90.24,173.93
1043,79.08,206.09
1044,74.94,155.54
1045,87.46000000000001,172.79
1046,100.94,177.71
1047,70.66,135.26
1048,100.64,158.93
1049,84.14,187.73
1050,71.26,189.2
1051,85.92,205.73000000000002
1052,81.14,192.83
1053,101.62,176.18
1054,91.14,200.6
1055,56.3,173.6
1056,81.62,211.67000000000002
1057,80.12,161.09
1058,56.5,169.28
1059,73.28,137.81
1060,90.24,178.25
1061,98.84,185.84
1062,84.53999999999999,176.48
1063,97.84,182.57
1064,75.18,154.31
1065,79.62,155.45
1066,95.3,198.29
1067,78.0,158.81
1068,85.06,165.35
1069,76.38,160.1
1070,60.78,184.16
1071,93.02,200.09
1072,85.64,138.26
1073,80.48,210.07999999999998
1074,74.58,209.39
1075,68.8,194.84
1076,98.84,196.37
1077,85.22,180.2
1078,65.82,136.37
1079,100.68,161.21
1080,95.14,191.39
1081,75.5,155.9
1082,62.76,144.98
1083,83.2,191.39
1084,57.94,162.23
1085,85.32,163.52
1086,54.379999999999995,168.8
1087,56.519999999999996,165.71
1088,60.76,141.02
1089,66.98,138.44
1090,87.92,172.55
1091,61.480000000000004,187.85
1092,101.02,169.28
1093,88.1,179.99
1094,75.16,139.85
1095,100.74,174.53
1096,67.22,140.99
1097,99.53999999999999,180.32
1098,83.44,160.82
1099,75.98,210.32
1100,81.76,187.46
1101,74.74,157.04
1102,57.620000000000005,153.83
1103,77.02,211.88
1104,87.08,179.18
1105,74.92,159.41
1106,87.92,170.48
1107,69.54,136.55
1108,86.86,176.18
1109,78.06,160.01
1110,60.24,185.69
1111,83.46000000000001,154.01
1112,95.78,196.57999999999998
1113,64.56,188.21
1114,87.1,174.95
1115,78.04,194.75
1116,88.42,200.42000000000002
1117,86.03999999999999,165.77
1118,70.72,138.32
1119,86.82,171.59
1120,55.16,166.43
1121,56.64,155.45
1122,88.4,164.27
1123,98.18,189.2
1124,77.2,155.87
1125,83.6,139.34
1126,58.4,163.85
1127,91.14,204.17000000000002
1128,85.42,188.51
1129,101.94,157.01
1130,77.5,192.98
1131,89.0,171.05
1132,78.76,158.75
1133,86.2,167.0
1134,79.62,139.34
1135,81.58,154.76
1136,87.7,143.06
1137,97.42,185.12
1138,97.26,156.98
1139,83.1,163.58
1140,81.12,188.03
1141,56.760000000000005,166.67
1142,78.96,154.19
1143,59.38,171.68
1144,77.12,210.95
1145,54.9,170.42
1146,83.12,189.65
1147,75.8,158.6
1148,64.52,196.16
1149,67.18,141.86
1150,86.68,164.75
1151,55.379999999999995,178.49
1152,96.6,195.74
1153,85.52,215.39
1154,100.78,172.4
1155,80.44,190.85
1156,88.2,172.61
1157,82.08,159.47
1158,85.2,165.89
1159,59.86,181.07
1160,78.9,196.01
1161,78.74,161.57
1162,84.56,183.95
1163,84.06,185.84
1164,81.94,139.46
1165,96.7,174.68
1166,56.36,165.05
1167,80.42,139.43
1168,90.12,205.07
1169,96.66,200.66
1170,84.16,155.57
1171,61.1,182.3
1172,56.18,156.53
1173,78.96,136.4
1174,90.72,195.95
1175,81.22,190.52
1176,62.7,190.67
1177,101.3,176.45
1178,57.879999999999995,169.43
1179,61.480000000000004,143.78
1180,65.12,187.07
1181,88.84,171.38
1182,88.68,173.48
1183,56.94,161.69
1184,88.76,173.96
1185,62.28,145.04
1186,75.34,137.36
1187,97.32,196.67000000000002
1188,87.5,169.49
1189,79.84,189.83
1190,88.68,174.68
1191,100.53999999999999,163.76
1192,66.88,189.83
1193,85.3,184.82
1194,80.84,154.49
1195,61.54,179.9
1196,77.04,192.74
1197,100.24,161.24
1198,80.8,158.81
1199,69.4,138.53
1200,78.2,191.78
1201,62.14,185.39
1202,55.58,159.17
1203,89.42,177.32
1204,90.92,208.04
1205,79.16,197.09
1206,75.98,133.85
1207,99.98,162.95
1208,85.22,160.19
1209,69.54,142.04
1210,79.16,154.58
1211,55.28,173.18
1212,84.68,163.43
1213,87.44,185.21
1214,85.68,182.21
1215,90.22,199.16
1216,62.72,153.5
1217,99.2,159.35
1218,85.7,136.88
1219,58.980000000000004,141.26
1220,84.06,161.33
1221,86.46000000000001,183.5
1222,57.760000000000005,181.55
1223,99.5,166.07
1224,80.8,191.84
1225,58.28,183.32
1226,82.98,142.31
1227,78.9,135.47
1228,86.64,172.43
1229,84.06,211.91
1230,79.88,191.84
1231,80.2,192.56
1232,87.0,160.4
1233,93.34,198.53
1234,59.12,165.83
1235,81.08,155.72
1236,101.9,183.95
1237,76.04,156.17
1238,57.86,174.83
1239,57.019999999999996,158.87
1240,87.66,140.6
1241,82.38,193.61
1242,77.78,154.67
1243,53.3,161.57
1244,79.5,157.31
1245,56.44,179.78
1246,82.34,140.51
1247,87.16,161.63
1248,75.3,158.33
1249,80.68,159.41
1250,57.980000000000004,179.57
1251,86.92,209.84
1252,75.5,157.37
1253,84.92,164.84
1254,66.24,195.65
1255,55.44,175.88
1256,76.16,158.75
1257,86.52,177.11
1258,61.4,176.51
1259,84.28,153.26
1260,82.0,209.06
1261,86.76,172.97
1262,56.8,170.3
1263,86.02,207.38
1264,65.72,187.4
1265,88.82,169.46
1266,58.34,158.96
1267,75.84,138.14
1268,79.48,159.11
1269,83.36,136.22
1270,57.14,181.79
1271,72.82,138.17000000000002
1272,56.879999999999995,168.2
1273,56.980000000000004,176.33
1274,86.88,171.26
1275,60.519999999999996,189.83
1276,71.68,194.39
1277,69.68,140.12
1278,63.24,186.38
1279,76.4,215.54
1280,63.32,141.2
1281,77.72,157.07
1282,93.46000000000001,197.39
1283,83.62,157.25
1284,88.1,208.88
1285,83.03999999999999,212.75
1286,87.9,164.21
1287,61.4,155.03
1288,70.6,189.71
1289,80.18,139.07
1290,82.92,167.54
1291,70.54,192.53
1292,89.86,180.35
1293,59.88,148.94
1294,87.56,203.0
1295,68.1,192.2
1296,80.12,187.43
1297,63.6,145.91
1298,95.42,185.33
1299,74.46,139.57999999999998
