,SkippedLessons,AverageGrade
316,58.0,3.5
317,120.0,1.2
318,106.0,0.7
319,85.0,3.2
320,152.0,1.0
321,147.0,0.8
322,130.0,0.5
323,58.0,3.3
324,153.0,0.9
325,62.0,1.1
326,62.0,1.0
327,171.0,0.9
328,107.0,1.3
329,56.0,0.9
330,137.0,1.1
331,136.0,0.6
332,55.0,0.8
333,138.0,1.1
334,147.0,1.0
335,139.0,1.1
336,55.0,3.5
337,65.0,1.4
338,57.0,3.6
339,64.0,1.0
340,60.0,3.7
341,48.0,3.4
342,37.0,2.9
343,146.0,1.5
344,128.0,1.5
345,141.0,1.0
346,140.0,0.4
347,51.0,3.3
348,55.0,0.8
349,52.0,1.3
350,38.0,0.8
351,167.0,0.9
352,37.0,1.0
353,129.0,1.3
354,123.0,0.4
355,48.0,1.3
356,40.0,3.5
357,70.0,3.5
358,71.0,3.4
359,70.0,3.6
360,66.0,0.8
361,13.0,3.3
362,60.0,0.6
363,73.0,3.6
364,45.0,0.6
365,32.0,1.5
366,118.0,1.6
367,35.0,1.2
368,139.0,0.9
369,29.0,3.4
370,66.0,3.2
371,139.0,1.6
372,52.0,3.8
373,138.0,0.9
374,133.0,0.6
375,138.0,1.1
376,145.0,1.2
377,158.0,0.5
378,147.0,1.0
379,116.0,0.7
380,54.0,1.6
381,105.0,1.1
382,75.0,3.9
383,65.0,3.3
384,38.0,0.7
385,139.0,0.8
386,75.0,0.8
387,74.0,3.7
388,119.0,1.1
389,108.0,1.2
390,49.0,0.7
391,84.0,1.0
392,41.0,1.2
393,140.0,1.0
394,32.0,3.4
395,38.0,1.3
396,48.0,0.8
397,129.0,0.7
398,47.0,3.7
399,131.0,1.3
400,54.0,2.9
401,50.0,3.6
402,46.0,3.3
403,51.0,3.7
404,120.0,1.3
405,106.0,1.2
406,99.0,1.0
407,65.0,1.3
408,122.0,0.4
409,56.0,3.2
410,51.0,4.1
411,43.0,1.2
412,145.0,0.8
413,72.0,1.0
414,39.0,3.0
415,51.0,3.1
416,151.0,1.3
417,132.0,0.9
418,72.0,3.8
419,51.0,1.1
420,40.0,1.1
421,128.0,0.6
422,65.0,3.3
423,47.0,3.7
424,44.0,1.4
425,39.0,0.5
426,141.0,1.4
427,63.0,1.2
428,58.0,3.6
429,50.0,0.8
430,58.0,0.8
431,145.0,0.8
432,69.0,3.3
433,126.0,1.0
434,131.0,0.9
435,107.0,0.5
436,42.0,3.7
437,45.0,1.4
438,56.0,1.1
439,27.0,1.2
440,38.0,3.2
441,118.0,0.8
442,54.0,1.6
443,121.0,0.4
444,133.0,1.6
445,62.0,0.9
446,145.0,0.8
447,45.0,1.0
448,70.0,3.3
449,37.0,2.9
450,23.0,3.0
451,33.0,3.5
452,147.0,1.3
453,59.0,3.2
454,104.0,1.2
455,67.0,0.9
456,118.0,0.5
457,36.0,3.7
458,48.0,3.9
459,37.0,0.9
460,25.0,3.6
461,57.0,3.2
462,132.0,1.7
463,37.0,3.8
464,22.0,2.8
465,57.0,1.4
466,115.0,1.3
467,46.0,3.8
468,60.0,1.1
469,75.0,3.6
470,65.0,3.8
471,25.0,4.1
472,103.0,1.1
473,132.0,1.6
474,38.0,0.9
475,53.0,0.6
476,41.0,1.1
477,44.0,0.6
478,40.0,1.5
479,47.0,3.8
480,61.0,0.8
481,55.0,3.2
482,128.0,1.3
483,122.0,1.1
484,40.0,3.3
485,55.0,0.7
486,68.0,0.8
487,26.0,3.4
488,52.0,3.5
489,45.0,3.7
490,25.0,3.5
491,86.0,3.8
492,52.0,3.6
493,136.0,1.8
494,51.0,1.0
495,151.0,0.5
496,17.0,0.8
497,28.0,0.8
498,71.0,3.5
499,80.0,3.3
500,109.0,0.9
501,121.0,0.8
502,67.0,1.4
503,117.0,1.0
504,36.0,1.7
505,50.0,1.2
506,43.0,1.1
507,42.0,0.6
508,87.0,3.7
509,132.0,0.8
510,89.0,3.5
511,45.0,1.3
512,43.0,1.3
513,144.0,0.8
514,129.0,1.2
515,116.0,1.3
516,144.0,0.9
517,64.0,1.3
518,59.0,1.0
519,34.0,3.3
520,122.0,0.8
521,39.0,3.6
522,139.0,0.5
523,161.0,1.4
524,37.0,1.6
525,134.0,1.2
526,52.0,0.6
527,166.0,0.9
528,61.0,3.5
529,72.0,0.8
530,61.0,3.6
531,136.0,1.0
532,127.0,1.0
533,122.0,1.3
534,120.0,1.4
535,42.0,1.1
536,31.0,3.8
537,45.0,3.2
538,59.0,1.5
539,103.0,0.8
540,47.0,0.4
541,62.0,3.7
542,35.0,1.4
543,75.0,1.5
544,124.0,1.0
545,128.0,1.5
546,18.0,3.2
547,115.0,1.1
548,38.0,0.6
549,44.0,4.0
550,154.0,1.2
551,40.0,3.4
552,77.0,1.4
553,42.0,3.4
554,33.0,3.1
555,128.0,1.0
556,28.0,0.6
557,21.0,3.4
558,61.0,3.0
559,63.0,1.2
560,48.0,1.0
561,58.0,1.0
562,55.0,3.5
563,132.0,1.1
564,26.0,3.5
565,58.0,0.5
566,62.0,2.9
567,154.0,1.2
568,61.0,1.1
569,59.0,3.8
570,136.0,1.0
571,134.0,0.8
572,126.0,0.8
573,20.0,0.8
574,78.0,0.7
575,37.0,1.4
576,154.0,1.3
577,91.0,3.7
578,133.0,0.7
579,49.0,3.5
580,49.0,3.5
581,136.0,0.7
582,49.0,3.6
583,126.0,1.4
584,144.0,0.6
585,25.0,1.0
586,53.0,3.5
587,110.0,1.2
588,128.0,0.8
589,56.0,1.1
590,123.0,0.3
591,151.0,1.4
592,133.0,1.0
593,36.0,1.4
594,133.0,1.4
595,68.0,3.7
596,129.0,0.9
597,48.0,3.3
598,69.0,0.6
599,61.0,0.8
600,50.0,0.7
601,40.0,4.1
602,30.0,1.7
603,27.0,0.6
604,121.0,0.9
605,60.0,3.4
606,52.0,3.6
607,71.0,0.8
608,160.0,1.0
609,71.0,3.8
610,54.0,3.6
611,58.0,1.3
612,57.0,0.8
613,52.0,3.8
614,29.0,3.6
615,74.0,3.5
616,144.0,0.4
617,71.0,1.0
618,148.0,0.9
619,28.0,0.3
620,58.0,3.9
621,57.0,3.0
622,54.0,3.2
623,43.0,3.8
624,71.0,3.0
625,69.0,0.8
626,128.0,1.6
627,43.0,0.9
628,135.0,1.1
629,110.0,1.1
630,67.0,1.0
631,124.0,0.8
632,58.0,0.6
633,22.0,1.0
634,54.0,3.3
635,45.0,0.2
636,128.0,0.8
637,128.0,0.5
638,65.0,1.6
639,43.0,1.3
640,46.0,3.5
641,57.0,1.0
642,42.0,1.0
643,115.0,0.5
644,80.0,0.6
645,61.0,3.4
646,123.0,0.9
647,37.0,3.6
648,38.0,0.9
649,52.0,3.5
650,67.0,1.3
651,39.0,1.6
652,52.0,3.8
653,37.0,0.9
654,117.0,0.6
655,67.0,3.8
656,42.0,3.1
657,127.0,0.9
658,59.0,3.8
659,148.0,1.3
660,47.0,1.4
661,52.0,0.4
662,134.0,0.4
663,57.0,3.3
664,72.0,1.3
665,30.0,1.3
666,74.0,0.6
667,135.0,0.9
668,62.0,1.5
669,50.0,3.7
670,79.0,1.1
671,26.0,3.3
672,63.0,0.5
673,125.0,1.1
674,41.0,3.4
675,50.0,4.0
676,91.0,3.8
677,54.0,0.8
678,37.0,1.3
679,25.0,1.4
680,39.0,0.6
681,44.0,3.3
682,48.0,3.0
683,63.0,3.3
684,56.0,1.0
685,36.0,3.1
686,126.0,1.1
687,39.0,0.9
688,23.0,3.1
689,176.0,1.1
690,46.0,3.2
691,59.0,3.4
692,150.0,1.3
693,133.0,0.9
694,14.0,3.4
695,39.0,3.2
696,59.0,3.3
697,53.0,3.7
698,59.0,3.8
699,56.0,1.6
700,54.0,0.5
701,45.0,4.0
702,44.0,3.3
703,69.0,3.5
704,106.0,1.2
705,89.0,1.3
706,88.0,0.8
707,154.0,0.9
708,56.0,3.2
709,149.0,1.6
710,56.0,0.6
711,34.0,3.5
712,63.0,1.1
713,33.0,2.5
714,23.0,0.6
715,38.0,3.8
716,59.0,0.8
717,62.0,3.3
718,136.0,1.4
719,62.0,3.1
720,40.0,3.2
721,136.0,0.7
722,149.0,0.8
723,42.0,4.0
724,167.0,1.2
725,31.0,1.1
726,33.0,1.0
727,56.0,3.0
728,59.0,0.8
729,53.0,3.5
730,52.0,3.9
731,126.0,0.9
732,48.0,3.7
733,122.0,1.7
734,52.0,0.9
735,37.0,0.9
736,65.0,3.1
737,56.0,1.0
738,39.0,3.7
739,88.0,0.9
740,52.0,3.9
741,73.0,3.9
742,44.0,3.8
743,53.0,1.3
744,45.0,0.9
745,163.0,0.9
746,37.0,4.3
747,69.0,0.6
748,126.0,1.2
749,25.0,0.9
750,93.0,0.8
751,58.0,1.1
752,77.0,3.9
753,29.0,3.3
754,40.0,3.9
755,37.0,1.3
756,79.0,3.5
757,99.0,1.1
758,117.0,1.0
759,75.0,3.6
760,55.0,0.7
761,125.0,1.5
762,33.0,4.0
763,127.0,1.2
764,50.0,3.5
765,159.0,1.3
766,52.0,3.4
767,146.0,1.3
768,50.0,1.1
769,31.0,3.3
770,64.0,3.5
771,63.0,1.2
772,140.0,1.5
773,116.0,1.2
774,69.0,1.5
775,137.0,0.9
776,68.0,0.9
777,145.0,1.3
778,132.0,1.1
779,31.0,3.3
780,67.0,3.3
781,112.0,1.7
782,37.0,0.7
783,43.0,4.1
784,149.0,1.3
785,30.0,3.8
786,30.0,3.4
787,141.0,0.9
788,123.0,1.0
789,22.0,0.4
790,43.0,1.1
791,38.0,1.2
792,53.0,2.9
793,56.0,0.8
794,47.0,0.9
795,52.0,3.1
796,60.0,3.6
797,48.0,3.5
798,40.0,1.3
799,137.0,1.2
800,44.0,3.5
801,43.0,0.8
802,126.0,1.0
803,162.0,1.4
804,116.0,1.0
805,53.0,3.5
806,37.0,0.7
807,60.0,1.0
808,53.0,3.0
809,27.0,0.7
810,57.0,0.5
811,143.0,0.9
812,142.0,0.9
813,137.0,1.3
814,41.0,0.5
815,137.0,1.2
816,67.0,1.5
817,118.0,1.1
818,47.0,3.7
819,145.0,1.1
820,131.0,1.0
821,50.0,0.8
822,46.0,0.9
823,38.0,1.3
824,46.0,1.1
825,46.0,3.6
826,52.0,0.7
827,82.0,3.4
828,117.0,0.9
829,142.0,0.7
830,135.0,0.8
831,53.0,3.7
832,38.0,3.6
833,86.0,1.1
834,89.0,1.3
835,18.0,3.7
836,74.0,3.9
837,120.0,0.9
838,60.0,3.6
839,156.0,0.8
840,77.0,2.7
841,40.0,3.6
842,51.0,1.0
843,122.0,0.5
844,50.0,1.0
845,128.0,0.8
846,127.0,0.2
847,43.0,3.1
848,123.0,0.9
849,66.0,0.9
850,120.0,1.2
851,73.0,3.7
852,83.0,3.5
853,50.0,1.1
854,29.0,0.9
855,18.0,3.4
856,50.0,4.0
857,145.0,1.2
858,124.0,1.2
859,31.0,1.3
860,52.0,0.7
861,75.0,3.3
862,27.0,0.6
863,122.0,1.3
864,72.0,3.4
865,55.0,3.8
866,124.0,0.5
867,138.0,1.3
868,54.0,3.6
869,36.0,3.7
870,63.0,1.3
871,43.0,1.2
872,59.0,3.2
873,158.0,0.9
874,40.0,3.3
875,125.0,0.7
876,46.0,0.9
877,37.0,3.2
878,39.0,3.4
879,160.0,1.4
880,30.0,0.9
881,69.0,3.5
882,38.0,3.7
883,123.0,1.3
884,74.0,0.9
885,137.0,0.6
886,123.0,1.0
887,57.0,0.8
888,45.0,1.1
889,60.0,3.2
890,132.0,0.8
891,47.0,1.0
892,27.0,3.7
893,43.0,3.3
894,116.0,1.1
895,40.0,3.5
896,25.0,1.8
897,166.0,1.3
898,29.0,1.4
899,132.0,0.8
900,63.0,3.6
901,130.0,0.8
902,81.0,0.8
903,142.0,1.0
904,112.0,1.3
905,51.0,3.1
906,125.0,1.7
907,60.0,1.5
908,65.0,0.9
909,48.0,2.9
910,44.0,0.8
911,46.0,3.8
912,54.0,1.2
913,53.0,3.7
914,121.0,1.2
915,44.0,3.0
916,121.0,1.1
917,68.0,1.0
918,163.0,1.0
919,143.0,0.9
920,121.0,1.2
921,46.0,3.2
922,46.0,3.8
923,54.0,3.5
924,27.0,0.9
925,140.0,1.4
926,141.0,1.1
927,62.0,3.3
928,49.0,1.2
929,124.0,1.0
930,59.0,3.6
931,53.0,3.6
932,121.0,1.0
933,50.0,0.9
934,125.0,1.1
935,61.0,3.3
936,156.0,0.6
937,44.0,1.0
938,55.0,3.3
939,115.0,1.5
940,36.0,3.3
941,61.0,3.9
942,67.0,3.3
943,77.0,0.9
944,60.0,1.3
945,50.0,1.1
946,143.0,1.0
947,123.0,1.4
948,18.0,0.8
949,130.0,1.1
950,65.0,0.8
951,34.0,3.6
952,55.0,0.9
953,26.0,3.3
954,120.0,0.5
955,27.0,3.4
956,53.0,3.9
957,69.0,1.3
958,51.0,3.8
959,149.0,1.2
960,57.0,3.4
961,139.0,1.0
962,136.0,0.4
963,65.0,3.6
964,48.0,0.8
965,82.0,1.2
966,56.0,0.9
967,32.0,3.6
968,42.0,0.8
969,17.0,1.0
970,136.0,1.0
971,35.0,1.1
972,123.0,1.0
973,33.0,0.7
974,40.0,3.2
975,43.0,0.4
976,125.0,1.1
977,50.0,4.2
978,136.0,1.1
979,154.0,1.3
980,134.0,0.9
981,42.0,3.3
982,131.0,0.5
983,47.0,0.5
984,51.0,3.6
985,80.0,4.0
986,57.0,3.8
987,133.0,0.9
988,54.0,1.0
989,38.0,3.8
990,54.0,1.2
991,17.0,0.8
992,22.0,1.3
993,55.0,4.0
994,128.0,0.9
995,41.0,1.5
996,46.0,3.4
997,61.0,3.6
998,129.0,0.4
999,131.0,1.3
