,WorkingAges,LateTimes,KPI,Salary
67,13.0,16.0,5.38,3415.8
68,18.0,20.0,5.49,4430.7
69,19.0,17.0,5.42,4525.7
70,17.0,14.0,4.42,3120.8
71,22.0,17.0,4.81,4271.8
72,18.0,16.0,6.1,5036.8
73,16.0,13.0,4.09,2480.2
74,4.0,16.0,4.69,1084.6
75,22.0,22.0,3.74,3226.9
76,16.0,21.0,4.85,3400.5
77,18.0,7.0,5.14,4061.5
78,17.0,7.0,6.12,4912.7
79,12.0,18.0,4.76,2520.1
80,19.0,11.0,5.63,4705.9
81,14.0,14.0,5.4,3500.7
82,14.0,12.0,5.25,3419.3
83,19.0,17.0,6.55,5651.7
84,25.0,11.0,3.64,3583.5
85,16.0,17.0,3.8,2277.7
86,10.0,16.0,4.94,2436.5
87,27.0,6.0,4.36,4811.2
88,24.0,12.0,5.78,5730.7
89,25.0,17.0,4.07,3984.9
90,19.0,10.0,4.39,3299.0
91,20.0,10.0,6.42,5754.8
92,27.0,14.0,3.59,3966.9
93,24.0,17.0,5.57,5514.2
94,14.0,19.0,3.92,2036.3
95,18.0,9.0,5.6,4504.8
96,30.0,13.0,4.63,5449.1
97,25.0,9.0,3.16,3187.9
98,19.0,20.0,5.78,4892.5
99,19.0,23.0,4.42,3357.0
100,26.0,14.0,5.3,5534.6
101,16.0,17.0,5.06,3645.6
102,17.0,16.0,5.18,3881.5
103,20.0,15.0,5.02,4272.4
104,17.0,15.0,4.96,3678.9
105,17.0,14.0,2.94,1512.0
106,15.0,9.0,5.12,3466.7
107,18.0,10.0,5.27,4100.4
108,22.0,14.0,6.56,6200.8
109,19.0,14.0,5.3,4293.3
110,20.0,19.0,6.69,5971.2
111,13.0,4.0,4.76,2751.1
112,19.0,9.0,4.92,3921.2
113,20.0,9.0,4.9,4069.7
114,24.0,24.0,4.5,4305.0
115,22.0,13.0,5.09,4606.3
116,18.0,15.0,5.31,4232.0
117,20.0,13.0,4.85,4039.6
118,19.0,17.0,4.93,3979.8
119,22.0,17.0,6.05,5742.4
120,23.0,20.0,3.95,3652.3
121,19.0,20.0,5.38,4464.6
122,13.0,14.0,5.61,3624.7
123,24.0,16.0,4.25,4090.1
124,20.0,18.0,5.53,4778.4
125,20.0,14.0,3.82,2880.3
126,18.0,15.0,4.52,3341.6
127,16.0,7.0,4.53,2956.8
128,13.0,12.0,6.51,4582.1
129,21.0,23.0,6.0,5507.2
130,22.0,24.0,3.84,3338.6
131,23.0,14.0,4.26,3959.5
132,20.0,16.0,4.95,4134.5
133,11.0,12.0,4.83,2443.0
134,13.0,19.0,4.61,2637.3
135,15.0,21.0,5.17,3584.2
136,25.0,16.0,4.08,4139.8
137,18.0,13.0,4.11,2933.3
138,24.0,19.0,5.84,5750.3
139,25.0,16.0,5.19,5217.1
140,17.0,17.0,4.56,3149.0
141,15.0,18.0,4.11,2319.2
142,12.0,1.0,7.76,5730.3
143,16.0,11.0,4.91,3421.2
144,20.0,14.0,4.39,3502.8
145,15.0,17.0,5.67,3966.7
146,13.0,11.0,4.52,2562.2
147,13.0,20.0,4.49,2370.9
148,28.0,18.0,6.95,7745.2
149,19.0,25.0,4.91,3994.0
150,22.0,12.0,6.41,6106.0
151,16.0,18.0,4.57,3116.4
152,16.0,26.0,5.35,3902.1
153,25.0,22.0,5.79,5867.9
154,20.0,7.0,6.82,6132.9
155,18.0,16.0,5.31,4195.8
156,23.0,17.0,5.44,5171.2
157,23.0,24.0,5.4,5201.0
158,17.0,9.0,2.76,1255.8
159,23.0,18.0,5.92,5726.8
160,20.0,14.0,5.57,4717.8
161,23.0,11.0,4.32,4046.9
162,23.0,13.0,5.9,5707.9
163,20.0,9.0,5.82,5136.8
164,23.0,19.0,5.63,5479.6
165,20.0,23.0,3.77,2883.9
166,23.0,10.0,3.48,3043.2
167,25.0,17.0,3.86,3872.5
168,27.0,9.0,5.82,6280.1
169,16.0,15.0,6.79,5471.4
170,15.0,10.0,3.48,1664.6
171,18.0,19.0,5.02,3842.5
172,19.0,11.0,4.73,3675.8
173,23.0,3.0,6.42,6217.8
174,26.0,11.0,5.5,5724.9
175,21.0,18.0,3.11,2339.6
176,22.0,11.0,3.87,3329.3
177,18.0,17.0,3.58,2314.3
178,15.0,11.0,4.55,2928.0
179,24.0,18.0,5.53,5429.6
180,15.0,15.0,4.48,2755.7
181,22.0,14.0,4.98,4573.9
182,20.0,11.0,6.6,5966.6
183,15.0,13.0,5.2,3581.6
184,22.0,21.0,4.17,3724.9
185,18.0,12.0,5.49,4382.0
186,22.0,14.0,5.62,5238.7
187,20.0,15.0,5.81,5112.6
188,20.0,22.0,3.59,2671.8
189,20.0,5.0,4.99,4211.8
190,17.0,17.0,5.46,4153.9
191,19.0,7.0,4.78,3766.0
192,19.0,13.0,3.58,2536.0
193,22.0,14.0,6.43,6024.0
194,24.0,14.0,5.55,5543.9
195,17.0,22.0,5.27,3914.8
196,20.0,24.0,4.17,3231.9
197,18.0,22.0,5.0,3795.4
198,12.0,12.0,4.16,2001.6
199,16.0,19.0,4.82,3393.2
200,29.0,14.0,3.2,3818.6
201,21.0,18.0,4.93,4271.0
202,24.0,16.0,6.43,6447.2
203,22.0,13.0,5.27,4909.3
204,23.0,16.0,4.53,4173.6
205,23.0,25.0,4.25,3937.5
206,20.0,13.0,5.28,4449.0
207,23.0,8.0,5.61,5383.7
208,24.0,20.0,4.83,4635.8
209,12.0,23.0,3.65,1461.0
210,23.0,17.0,5.05,4768.2
211,21.0,14.0,5.39,4856.4
212,17.0,12.0,3.65,2305.7
213,15.0,22.0,3.03,1298.1
214,22.0,13.0,5.8,5436.4
215,21.0,7.0,5.02,4383.9
216,21.0,13.0,6.24,5705.9
217,21.0,16.0,3.22,2420.8
218,14.0,18.0,5.09,3290.6
219,25.0,17.0,6.03,6250.0
220,17.0,23.0,4.88,3505.2
221,22.0,23.0,4.96,4522.9
222,22.0,19.0,5.31,4837.8
223,23.0,1.0,5.17,4946.8
224,21.0,28.0,4.94,4354.6
225,21.0,12.0,7.14,6700.0
226,20.0,12.0,5.9,5139.1
227,20.0,12.0,5.17,4366.2
228,27.0,9.0,4.61,4974.2
229,20.0,21.0,5.81,5102.2
230,16.0,14.0,4.91,3381.4
231,19.0,12.0,5.65,4689.3
232,11.0,5.0,3.86,1435.6
233,14.0,19.0,5.38,3569.0
234,18.0,19.0,5.9,4885.1
235,17.0,17.0,5.4,4191.4
236,20.0,15.0,4.47,3588.4
237,23.0,16.0,5.5,5315.6
238,22.0,18.0,5.23,4754.7
239,21.0,16.0,5.02,4404.3
240,16.0,12.0,5.1,3682.8
241,20.0,22.0,4.18,3286.5
242,23.0,13.0,4.95,4735.0
243,22.0,20.0,4.84,4406.3
244,21.0,24.0,3.89,3179.6
245,18.0,7.0,6.34,5267.9
246,22.0,18.0,5.88,5477.9
247,26.0,23.0,4.42,4579.0
248,23.0,14.0,4.77,4498.3
249,23.0,16.0,4.28,3931.6
250,23.0,12.0,3.62,3246.6
251,19.0,7.0,3.1,2007.3
252,21.0,15.0,3.7,3031.5
253,25.0,20.0,5.51,5562.8
254,17.0,13.0,4.01,2569.6
255,18.0,16.0,4.83,3706.2
256,12.0,6.0,5.21,3112.8
257,19.0,23.0,4.89,3874.3
258,21.0,7.0,2.79,2056.1
259,15.0,18.0,5.56,3987.7
260,14.0,23.0,6.7,5037.5
261,29.0,20.0,5.98,6793.1
262,21.0,13.0,6.02,5531.7
263,20.0,14.0,4.98,4175.3
264,27.0,13.0,5.8,6253.1
265,24.0,18.0,5.72,5677.1
266,20.0,9.0,4.04,3157.9
267,23.0,3.0,4.5,4172.3
268,26.0,13.0,3.63,3711.0
269,20.0,18.0,5.19,4454.0
270,21.0,15.0,4.74,4144.6
271,28.0,20.0,5.82,6535.5
272,21.0,11.0,6.29,5769.4
273,16.0,16.0,6.11,4706.4
274,23.0,15.0,4.21,3842.6
275,12.0,14.0,4.88,2722.8
276,14.0,13.0,4.14,2258.5
277,23.0,22.0,3.22,2809.2
278,16.0,15.0,6.64,5260.3
279,18.0,15.0,4.38,3196.2
280,22.0,10.0,4.61,4094.2
281,22.0,7.0,5.65,5289.2
282,17.0,14.0,4.29,2860.7
283,28.0,19.0,4.44,4943.6
284,22.0,11.0,5.07,4595.8
285,17.0,16.0,6.5,5336.8
286,26.0,17.0,5.28,5610.1
287,16.0,9.0,6.39,4948.7
288,20.0,13.0,4.34,3550.5
289,15.0,17.0,3.09,1342.2
290,22.0,19.0,3.66,3078.8
291,21.0,9.0,5.01,4324.4
292,12.0,8.0,7.45,5359.9
293,21.0,4.0,3.48,2826.4
294,28.0,15.0,2.78,3182.6
295,20.0,14.0,4.53,3635.3
296,18.0,19.0,5.33,4196.3
297,23.0,17.0,5.77,5554.5
298,20.0,16.0,5.03,4259.4
299,29.0,19.0,4.99,5749.6
300,17.0,17.0,4.31,2952.4
301,19.0,18.0,5.45,4435.3
302,22.0,14.0,3.61,3079.7
303,17.0,19.0,4.51,3168.9
304,20.0,20.0,6.33,5639.4
305,16.0,23.0,3.52,1899.4
306,26.0,13.0,6.07,6464.2
307,15.0,22.0,5.46,3863.5
308,21.0,16.0,4.54,3956.6
309,20.0,11.0,5.35,4541.1
310,26.0,11.0,5.01,5322.7
311,23.0,11.0,6.0,5816.5
312,14.0,7.0,5.08,3202.5
313,18.0,12.0,5.57,4438.6
314,17.0,17.0,5.1,3746.5
315,18.0,14.0,3.3,2089.7
316,19.0,12.0,5.08,4161.6
317,20.0,10.0,5.28,4427.3
318,21.0,15.0,6.52,6077.6
319,17.0,10.0,5.45,4139.5
320,21.0,11.0,5.03,4430.3
321,19.0,22.0,5.61,4603.4
322,28.0,15.0,5.64,6170.6
323,15.0,12.0,3.87,2109.4
324,19.0,21.0,6.13,5161.7
325,23.0,15.0,5.53,5293.1
326,25.0,7.0,7.37,7649.6
327,23.0,14.0,4.3,3985.4
328,25.0,10.0,4.26,4362.7
329,22.0,20.0,5.57,5150.8
330,19.0,12.0,5.05,4110.8
331,19.0,14.0,4.07,3082.1
332,17.0,12.0,5.59,4356.2
333,22.0,18.0,4.54,4144.4
334,18.0,15.0,5.42,4303.5
335,20.0,2.0,6.1,5444.2
336,30.0,19.0,5.58,6455.3
337,26.0,18.0,4.97,5142.7
338,30.0,18.0,3.9,4706.6
339,25.0,15.0,3.83,3841.9
340,20.0,16.0,5.6,4822.8
341,23.0,18.0,6.3,6177.7
342,12.0,12.0,4.61,2411.6
343,19.0,12.0,4.92,3883.5
344,25.0,18.0,6.08,6246.5
345,25.0,11.0,3.79,3836.7
346,18.0,19.0,4.19,3022.7
347,24.0,18.0,5.52,5486.6
348,22.0,7.0,3.53,2990.5
349,14.0,12.0,6.52,4728.7
350,20.0,17.0,3.09,2246.2
351,18.0,8.0,3.35,2159.9
352,17.0,11.0,5.68,4380.4
353,12.0,17.0,3.06,763.9
354,20.0,13.0,5.33,4553.2
355,12.0,17.0,5.27,3040.8
356,13.0,17.0,5.43,3431.6
357,15.0,21.0,5.27,3685.2
358,26.0,21.0,5.31,5569.9
359,20.0,12.0,4.25,3342.9
360,23.0,18.0,6.56,6327.5
361,24.0,16.0,5.18,5115.5
362,20.0,12.0,5.57,4735.5
363,16.0,23.0,4.95,3534.7
364,26.0,10.0,5.52,5858.8
365,18.0,19.0,3.74,2502.9
366,19.0,16.0,3.99,2970.2
367,25.0,22.0,5.37,5534.7
368,15.0,15.0,3.14,1353.1
369,27.0,20.0,3.88,4147.7
370,15.0,17.0,5.6,3919.9
371,18.0,16.0,5.99,4966.5
372,12.0,5.0,6.18,4004.9
373,19.0,10.0,4.02,3010.5
374,18.0,12.0,5.63,4494.0
375,17.0,22.0,5.9,4728.0
376,23.0,22.0,3.71,3260.8
377,23.0,10.0,4.27,3874.5
378,20.0,8.0,5.39,4553.4
379,22.0,19.0,6.52,6212.2
380,19.0,8.0,4.41,3334.2
381,23.0,18.0,4.57,4200.3
382,24.0,15.0,5.06,4934.4
383,32.0,19.0,3.28,4374.2
384,20.0,15.0,4.25,3325.1
385,18.0,14.0,5.01,3856.1
386,21.0,12.0,2.66,1965.2
387,24.0,10.0,5.2,5182.4
388,24.0,22.0,4.66,4558.9
389,21.0,13.0,6.2,5670.6
390,25.0,14.0,4.76,4853.5
391,22.0,14.0,5.18,4711.0
392,19.0,20.0,3.54,2553.0
393,24.0,15.0,7.23,7195.2
394,24.0,10.0,4.02,3938.1
395,21.0,21.0,3.93,3142.9
396,21.0,10.0,5.98,5353.7
397,25.0,16.0,5.51,5636.2
398,22.0,11.0,5.82,5502.4
399,20.0,17.0,6.1,5369.4
400,15.0,14.0,5.92,4381.0
401,23.0,17.0,3.74,3323.1
402,17.0,5.0,4.01,2690.4
403,22.0,18.0,6.34,5915.9
404,20.0,9.0,3.53,2628.6
405,20.0,19.0,4.9,4076.5
406,24.0,9.0,4.53,4341.1
407,21.0,17.0,4.87,4160.7
408,17.0,13.0,5.62,4417.4
409,15.0,19.0,5.21,3515.1
410,18.0,18.0,4.49,3371.3
411,20.0,11.0,5.41,4698.8
412,19.0,16.0,4.91,3919.3
413,23.0,12.0,5.67,5487.0
414,22.0,17.0,4.42,3985.2
415,17.0,19.0,4.33,2941.2
416,21.0,19.0,4.99,4418.9
417,29.0,6.0,5.45,6265.3
418,25.0,21.0,5.93,6080.2
419,18.0,11.0,5.43,4305.8
420,19.0,6.0,5.01,4098.0
421,21.0,22.0,5.92,5435.6
422,25.0,14.0,4.12,4161.8
423,14.0,14.0,5.04,3203.0
424,26.0,20.0,6.65,6925.2
425,17.0,9.0,4.91,3605.8
426,28.0,15.0,3.38,3946.7
427,5.0,20.0,5.24,1898.5
428,15.0,8.0,6.68,5165.6
429,19.0,27.0,4.19,3082.6
430,20.0,15.0,4.95,4162.6
431,22.0,9.0,5.34,4994.2
432,19.0,6.0,5.72,4843.3
433,21.0,8.0,4.42,3777.3
434,19.0,19.0,6.26,5372.0
435,20.0,21.0,4.75,3957.5
436,19.0,18.0,5.97,5094.3
437,17.0,11.0,5.46,4237.1
438,25.0,18.0,5.12,5108.1
439,22.0,10.0,3.68,3089.7
440,23.0,15.0,4.89,4694.2
441,27.0,6.0,4.87,5176.8
442,21.0,15.0,4.22,3523.6
443,27.0,23.0,4.57,4898.4
444,22.0,17.0,5.52,5134.4
445,16.0,2.0,4.71,3276.8
446,23.0,13.0,4.42,4123.6
447,17.0,6.0,5.65,4436.8
448,20.0,19.0,5.77,4954.5
449,18.0,20.0,5.3,4233.8
450,24.0,17.0,6.34,6334.1
451,17.0,14.0,3.74,2413.1
452,28.0,15.0,6.07,6677.3
453,22.0,12.0,5.67,5282.6
454,26.0,6.0,6.45,6801.6
455,17.0,16.0,3.64,2176.9
456,20.0,12.0,4.99,4167.1
457,19.0,17.0,4.31,3350.0
458,13.0,13.0,4.66,2558.1
459,17.0,12.0,7.9,6834.8
460,17.0,17.0,5.48,4160.9
461,23.0,15.0,3.65,3259.3
462,28.0,14.0,4.49,4941.9
463,15.0,24.0,5.61,3930.3
464,18.0,6.0,5.57,4458.9
465,23.0,5.0,4.46,4072.0
466,24.0,8.0,4.5,4312.1
467,23.0,19.0,5.17,4941.2
468,15.0,16.0,4.77,3070.1
469,17.0,13.0,6.32,4990.7
470,28.0,18.0,4.64,5172.1
471,17.0,12.0,6.21,4975.1
472,21.0,10.0,4.71,4052.1
473,22.0,8.0,5.85,5423.6
474,23.0,18.0,5.72,5477.7
475,18.0,20.0,3.89,2724.9
476,13.0,7.0,6.03,4077.6
477,21.0,16.0,6.29,5786.9
478,18.0,17.0,4.99,3794.1
479,21.0,14.0,3.85,3089.7
480,22.0,16.0,3.36,2864.1
481,22.0,15.0,4.68,4257.6
482,23.0,24.0,4.19,3853.0
483,22.0,21.0,5.79,5348.3
484,17.0,6.0,5.21,3917.1
485,15.0,18.0,4.4,2663.8
486,23.0,23.0,4.11,3748.0
487,22.0,12.0,5.52,5032.2
488,17.0,11.0,5.82,4569.3
489,17.0,14.0,3.22,1715.3
490,19.0,13.0,4.58,3603.5
491,21.0,11.0,6.09,5455.8
492,22.0,22.0,3.94,3423.6
493,18.0,9.0,6.97,5999.8
494,17.0,15.0,5.06,3709.3
495,14.0,11.0,5.6,3730.4
496,16.0,13.0,4.65,3159.7
497,18.0,11.0,5.37,4320.2
498,20.0,14.0,4.19,3257.6
499,27.0,19.0,4.32,4768.9
