,Experience,KPI,Status
90,17.3,12.16,Fire
91,12.7,23.15,Fire
92,11.7,19.45,Fire
93,4.8,18.33,Fire
94,18.3,18.4,Fire
95,12.5,13.65,Fire
96,15.1,18.74,Fire
97,5.3,14.73,Fire
98,10.1,16.45,Fire
99,15.9,15.56,Fire
100,19.7,42.21,Train
101,17.0,41.94,Train
102,18.3,52.36,Train
103,17.8,36.09,Train
104,19.6,74.1,Train
105,18.9,35.57,Train
106,19.5,44.02,Train
107,20.0,26.78,Train
108,16.7,44.85,Train
109,19.2,39.23,Train
110,18.3,30.19,Train
111,17.0,55.72,Train
112,19.3,48.62,Train
113,18.2,21.12,Train
114,19.0,40.08,Train
115,17.3,39.29,Train
116,18.2,54.33,Train
117,17.5,48.83,Train
118,19.1,38.08,Train
119,18.6,32.34,Train
120,18.4,36.11,Train
121,17.4,54.88,Train
122,17.2,54.53,Train
123,18.2,47.41,Train
124,18.8,47.99,Train
125,16.4,51.83,Train
126,17.3,31.02,Train
127,17.7,48.91,Train
128,18.8,46.25,Train
129,17.4,49.3,Train
130,17.5,58.2,Train
131,19.6,47.5,Train
132,18.4,44.53,Train
133,17.3,48.26,Train
134,18.2,55.69,Train
135,17.1,32.99,Train
136,17.9,60.85,Train
137,18.3,40.86,Train
138,17.1,47.01,Train
139,17.6,46.27,Train
140,18.0,37.52,Train
141,18.8,34.88,Train
142,18.9,31.78,Train
143,17.2,55.04,Train
144,17.5,46.86,Train
145,18.6,34.77,Train
146,19.6,36.02,Train
147,19.0,36.05,Train
148,18.3,45.9,Train
149,19.3,41.77,Train
150,18.1,40.57,Train
151,17.0,47.75,Train
152,18.7,54.77,Train
153,19.0,37.73,Train
154,18.4,31.5,Train
155,18.5,39.94,Train
156,18.8,33.93,Train
157,17.8,50.59,Train
158,18.3,33.82,Train
159,16.8,62.0,Train
160,18.0,35.95,Train
161,16.8,52.24,Train
162,16.5,54.33,Train
163,18.6,50.85,Train
164,15.9,45.91,Train
165,17.9,54.39,Train
166,18.1,35.55,Train
167,18.1,50.34,Train
168,19.8,32.38,Train
169,18.5,40.27,Train
170,18.8,41.05,Train
171,17.7,46.89,Train
172,17.3,37.43,Train
173,17.9,54.1,Train
174,18.8,43.57,Train
175,17.9,26.68,Train
176,19.5,50.8,Train
177,17.5,65.39,Train
178,18.0,58.36,Train
179,17.9,41.2,Train
180,19.3,48.37,Train
181,17.4,31.92,Train
182,18.4,53.54,Train
183,16.3,42.05,Train
184,19.3,34.5,Train
185,18.3,58.75,Train
186,17.2,27.09,Train
187,17.0,37.75,Train
188,17.7,32.94,Train
189,17.0,32.26,Train
190,19.8,53.91,Train
191,17.6,39.67,Train
192,17.4,49.69,Train
193,17.6,37.08,Train
194,17.5,54.14,Train
195,16.7,38.3,Train
196,19.4,54.15,Train
197,18.1,24.41,Train
198,15.9,60.46,Train
199,16.2,65.39,Train
200,22.7,78.21,Promote
201,23.2,72.84,Promote
202,22.0,52.28,Promote
203,23.0,75.99,Promote
204,23.3,58.39,Promote
205,24.0,67.0,Promote
206,23.3,47.92,Promote
207,22.2,55.48,Promote
208,22.3,53.73,Promote
209,22.2,73.82,Promote
210,24.1,54.14,Promote
211,22.6,78.09,Promote
212,22.1,74.64,Promote
213,22.8,55.2,Promote
214,22.8,70.88,Promote
215,25.1,51.45,Promote
216,21.9,68.84,Promote
217,22.6,60.87,Promote
218,23.7,75.37,Promote
219,24.5,52.54,Promote
220,22.6,53.41,Promote
221,21.7,68.9,Promote
222,22.6,78.42,Promote
223,21.9,59.83,Promote
224,23.9,58.67,Promote
225,24.2,42.39,Promote
226,24.1,67.61,Promote
227,22.8,38.39,Promote
228,22.7,47.76,Promote
229,23.3,57.63,Promote
230,22.9,49.67,Promote
231,23.5,40.66,Promote
232,22.1,59.48,Promote
233,23.2,69.77,Promote
234,24.6,43.72,Promote
235,23.5,59.22,Promote
236,23.6,63.62,Promote
237,21.5,70.64,Promote
238,21.8,38.77,Promote
239,23.5,75.63,Promote
240,22.3,64.75,Promote
241,23.3,63.21,Promote
242,24.6,55.22,Promote
243,23.1,70.32,Promote
244,23.8,52.27,Promote
245,23.3,57.16,Promote
246,22.2,53.37,Promote
247,22.5,65.41,Promote
248,22.8,71.4,Promote
249,22.7,67.28,Promote
250,23.6,69.46,Promote
251,23.0,42.63,Promote
252,22.3,72.46,Promote
253,20.1,71.72,Promote
254,21.7,42.52,Promote
255,21.2,62.94,Promote
256,22.1,61.74,Promote
257,23.9,48.26,Promote
258,21.6,53.89,Promote
259,22.6,61.78,Promote
260,23.1,64.84,Promote
261,23.5,51.28,Promote
262,24.2,51.44,Promote
263,24.5,63.27,Promote
264,20.9,45.77,Promote
265,23.5,51.36,Promote
266,24.4,61.29,Promote
267,22.7,51.07,Promote
268,23.5,81.5,Promote
269,21.4,45.3,Promote
270,21.9,53.16,Promote
271,21.6,47.16,Promote
272,23.0,60.93,Promote
273,21.9,59.7,Promote
274,24.4,40.32,Promote
275,24.2,58.43,Promote
276,22.6,61.36,Promote
277,23.4,56.5,Promote
278,21.7,43.67,Promote
279,23.5,63.36,Promote
280,22.8,57.97,Promote
281,22.4,76.66,Promote
282,22.4,56.4,Promote
283,24.1,14.98,Promote
284,22.6,70.21,Promote
285,23.1,44.22,Promote
286,22.6,62.51,Promote
287,22.7,82.55,Promote
288,23.5,50.23,Promote
289,22.4,48.02,Promote
290,23.2,72.73,Promote
291,23.5,39.29,Promote
292,21.1,47.01,Promote
293,23.3,64.81,Promote
294,24.2,53.38,Promote
295,22.0,46.55,Promote
296,23.5,43.3,Promote
297,24.9,66.36,Promote
298,23.5,39.11,Promote
299,21.9,44.78,Promote
300,23.3,83.13,Reward
301,29.3,82.86,Reward
302,31.1,83.94,Reward
303,25.8,82.28,Reward
304,23.7,79.33,Reward
305,29.4,77.82,Reward
306,22.1,79.3,Reward
307,28.2,83.49,Reward
308,23.3,83.83,Reward
309,24.3,76.92,Reward
310,22.4,86.77,Reward
311,22.0,85.84,Reward
312,28.2,87.22,Reward
313,20.7,95.0,Reward
314,22.9,83.21,Reward
315,25.3,75.34,Reward
316,23.5,84.55,Reward
317,21.4,82.06,Reward
318,27.4,85.74,Reward
319,24.0,83.9,Reward
320,19.8,81.56,Reward
321,24.3,80.88,Reward
322,23.4,78.79,Reward
323,26.4,87.34,Reward
324,24.3,87.0,Reward
325,24.5,82.99,Reward
326,22.2,89.91,Reward
327,28.4,85.35,Reward
328,30.7,79.81,Reward
329,27.3,82.05,Reward
330,25.3,90.49,Reward
331,19.5,78.61,Reward
332,31.3,88.69,Reward
333,24.2,94.54,Reward
334,29.3,86.66,Reward
335,25.7,84.62,Reward
336,27.3,82.6,Reward
337,31.9,86.3,Reward
338,24.8,78.61,Reward
339,29.7,88.08,Reward
340,26.7,79.85,Reward
341,27.1,83.21,Reward
342,19.9,80.78,Reward
343,25.0,80.06,Reward
344,31.8,80.84,Reward
345,28.1,86.97,Reward
346,30.2,80.64,Reward
347,30.7,86.78,Reward
348,21.2,94.61,Reward
349,22.5,76.73,Reward
350,26.9,79.85,Reward
351,30.5,86.03,Reward
352,20.7,84.44,Reward
353,32.1,81.48,Reward
354,21.9,81.93,Reward
355,31.1,88.31,Reward
356,22.0,81.82,Reward
357,23.0,90.85,Reward
358,19.8,88.1,Reward
359,21.8,87.73,Reward
360,24.9,83.79,Reward
361,21.5,83.92,Reward
362,32.1,80.12,Reward
363,28.9,88.0,Reward
364,24.2,85.38,Reward
365,17.3,91.41,Reward
366,24.8,86.35,Reward
367,27.0,80.03,Reward
368,27.3,82.46,Reward
369,26.9,84.23,Reward
370,28.9,87.44,Reward
371,28.9,82.2,Reward
372,28.1,81.94,Reward
373,30.5,85.16,Reward
374,27.4,86.81,Reward
375,20.9,90.04,Reward
376,26.8,90.21,Reward
377,23.2,92.68,Reward
378,22.4,86.11,Reward
379,22.2,87.13,Reward
380,23.9,83.42,Reward
381,29.0,84.75,Reward
382,32.0,82.56,Reward
383,28.5,82.83,Reward
384,20.7,87.42,Reward
385,26.9,87.75,Reward
386,26.8,80.05,Reward
387,19.9,84.36,Reward
388,22.6,88.16,Reward
389,14.8,89.0,Reward
390,25.6,76.26,Reward
391,22.4,90.62,Reward
392,18.9,84.21,Reward
393,24.4,82.42,Reward
394,33.1,90.24,Reward
395,23.6,88.27,Reward
396,22.2,79.92,Reward
397,26.3,86.72,Reward
398,22.1,82.08,Reward
399,19.0,83.11,Reward
